소재지전체주소,도로명전체주소,사업장명,위도,경도,업태구분명,kakao_star,kakao_star_nums,kakao_blog_review
상도동,"서울특별시 강남구 강남대로66길 14, 1층 101호 (역삼동)",일경 양대창&방랑떡볶이,37.4917691,127.0318188,고기,3.3,3,39
우면동,"서울특별시 강남구 강남대로102길 16, 3층 (역삼동)",우리소,37.5020885,127.0272009,고기,3.5,2,0
서초동,서울특별시 강남구 강남대로118길 11 (논현동),삼백식당,37.5066909,127.024556,고기,2.7,10,89
독산동,"서울특별시 강남구 강남대로94길 87 (역삼동,지상2층)",말뚝곱창8호,37.5009124,127.034255,고기,4,6,23
답십리동,"서울특별시 강남구 강남대로122길 39, 지상1층 101호 (논현동)",연안식당답십리사거리점,37.5087531,127.0260782,고기,3.5,2,22
봉천동,"서울특별시 강남구 강남대로94길 83, 지상2층 (역삼동)",고앤고,37.5008574,127.0339545,고기,4.6,18,29
신사동,"서울특별시 강남구 강남대로 342 (역삼동,지상1층)",소고집,37.4936874,127.0302304,고기,5,2,5
자양동,"서울특별시 강남구 강남대로152길 69, 2층 (신사동)",성수갈비,37.519129,127.0247611,고기,4.2,7,6
도곡동,서울특별시 강남구 강남대로124길 48 (논현동),사람사는고깃집 김일도도곡점,37.5098826,127.0261498,고기,3.8,4,43
황학동,"서울특별시 강남구 강남대로118길 70, 1층 104호 (논현동)",청춘삼겹살,37.5070075,127.0285306,고기,1,2,230
방이동,"서울특별시 강남구 강남대로120길 40, 지상1층 (논현동)",원조 부산 양곱창,37.5076344,127.0266038,고기,0,0,0
노량진동,서울특별시 강남구 강남대로156길 40 (신사동),큰손 갈비,37.5188994,127.022352,고기,5,2,1
장위동,서울특별시 강남구 강남대로94길 59 (역삼동),보보상회,37.5006571,127.0320926,고기,0,0,2
마곡동,"서울특별시 강남구 강남대로 438, 3층 305,306호 (역삼동, 스타플랙스)",촌놈숯불닭갈비,37.5016424,127.0263372,고기,5,2,37
암사동,서울특별시 강남구 강남대로 390 (역삼동),암사쪽갈비,37.497901,127.028709,고기,0,0,2
낙원동,"서울특별시 강남구 강남대로114길 23 (논현동,지상1층)",낙원 생삼겹살,37.506286,127.0261493,고기,4.8,5,10
홍제동,"서울특별시 강남구 강남대로 310, 유니온센터오피스텔 지하1층 59호 (역삼동)",압구정닭꼬치,37.4909898,127.0315025,고기,5,3,3
상계동,"서울특별시 강남구 강남대로152길 14 (신사동,1층)",수향숯불갈비,37.5171551,127.0207176,고기,4.5,3,6
공릉동,"서울특별시 강남구 강남대로84길 16, 제이스타워 지하1층 (역삼동)",삼정종합어시장,37.4966992,127.0300404,고기,4,4,16
신림동,"서울특별시 강남구 강남대로58길 12 (도곡동,지상1층)",구이가 녹두거리점,37.4892721,127.0330746,고기,5,1,1
방학동,"서울특별시 강남구 강남대로126길 34, 지상1층 (논현동)",도봉산숯불갈비,37.5099141,127.0252227,고기,4,1,43
상계동,"서울특별시 강남구 강남대로 250, 심현빌딩 지상1층 (도곡동)",인생갈비,37.4858736,127.0338898,고기,5,3,14
도봉동,"서울특별시 강남구 강남대로110길 13 (역삼동,지상1층)",명륜진사갈비 도봉산점,37.504037,127.0259474,고기,3.7,3,13
