,지번주소,도로명주소,위도,경도,사업장명,kakao_star,kakao_star_nums,kakao_blog_review
3011,자양동,서울특별시 광진구 자양로 71 (자양동),37.5342173,127.0841802,팡팡,0,0,0
557,미아동,서울특별시 강북구 도봉로20가길 8 (미아동),37.6189602,127.0300905,신나는노래연습장,0,0,0
2019,고척동,서울특별시 구로구 경인로47길 30 (고척동),37.5007681,126.8664304,킹노래연습장,0,0,0
4133,방학동,서울특별시 도봉구 방학로 132 (방학동지하 1층)',37.6630541,127.0375717,대박노래연습장,0,0,0
1243,봉천동,서울특별시 관악구 보라매로 17 (봉천동),37.4910396,126.9269348,큐 노래연습장,0,0,0
5919,신길동,서울특별시 영등포구 신길로39길 4 지1층 (신길동)',37.5070017,126.9103667,정원노래연습장,1,1,0
2822,중곡동,서울특별시 광진구 영화사로 30  (중곡동지하1층)',37.5569059,127.0902606,야호,0,0,0
7254,가락동,서울특별시 송파구 오금로44길 3 지층 (가락동)',37.4968801,127.1360385,품바노래연습장,0,0,0
9467,잠원동,서울특별시 서초구 강남대로101길 28  (잠원동),37.5171677,127.0182265,도레미노래연습장,0,0,0
2381,숭인동,서울특별시 종로구 종로 374 (숭인동(지하1층))',37.5737711,127.0190725,팡팡,0,0,0
2932,중곡동,서울특별시 광진구 용마산로 16 (중곡동2층)',37.5550537,127.088633,산,3.9,31,159
11783,묵동,서울특별시 중랑구 중랑역로 205 지층 (묵동),37.6117605,127.0756262,즐거운노래연습장,0,0,0
6883,역삼동,서울특별시 강남구 언주로98길 23 지하1층 (역삼동)',37.5048996,127.0438019,즐거운 노래연습장,0,0,0
5023,신정동,서울특별시 양천구 신월로 282 (신정동지하1층)',37.5210694,126.8521735,신타임노래연습장,0,0,0
6004,양평동4가,서울특별시 영등포구 양평로 89 지하1층 (양평동4가)',37.536078,126.8971751,대박노래연습장,0,0,0
2187,시흥동,서울특별시 금천구 독산로 74-1 2층 (시흥동)',37.4540155,126.9062881,아성,5,1,0
6900,역삼동,서울특별시 강남구 도곡로 183 지하1층 (역삼동 현진빌딩)',37.4922524,127.0394115,마타하리노래연습장,0,0,0
9291,영천동,서울특별시 서대문구 통일로 203-1 (영천동),37.5713097,126.9608566,독립문 노래연습장,0,0,0
7747,상계동,서울특별시 노원구 상계로 96-1 지층 (상계동),37.6567138,127.0657591,다은 노래연습장,0,0,0
1990,구로동,서울특별시 구로구 구로동로 174-3 1층 (구로동)',37.4944179,126.8831022,중앙노래연습장,0,0,0
2210,가산동,서울특별시 금천구 가산로 144 지하1층 (가산동)',37.4781956,126.8911749,팡팡노래연습장,0,0,0
5341,화곡동,서울특별시 강서구 화곡로 206  (화곡동),37.5436983,126.8436234,광명노래방,0,0,0
4246,상계동,서울특별시 노원구 상계로37길 10 (상계동),37.6707312,127.0792676,은혜,0,0,0
8712,용두동,서울특별시 동대문구 무학로 112 지상3층 (용두동)',37.5742425,127.0309026,고향산천,0,0,0
7578,길동,서울특별시 강동구 양재대로 1479 (길동),37.5380886,127.1398273,MBC노래연습장,0,0,0
8636,창동,서울특별시 도봉구 덕릉로 229 (창동),37.6386159,127.0377226,와드코인노래연습장,0,0,0
70,일원동,서울특별시 강남구 양재대로37길 5 지하층 (일원동)',37.490141,127.0838656,방큰노래연습장,0,0,0
9744,성수동2가,서울특별시 성동구 성수일로12길 44 (성수동2가(지하))',37.547099,127.0553648,아미가,0,0,0
8054,가락동,서울특별시 송파구 동남로18길 35 불산빌딩 지층 (가락동),37.4934799,127.1339855,바나나 노래연습장,0,0,0
2303,고척동,서울특별시 구로구 경인로35길 115 2층 (고척동),37.5015558,126.8519926,영 노래연습장,0,0,0
10701,신길동,서울특별시 영등포구 영등포로84길 7 지하1층 (신길동)',37.5125522,126.9221876,스타노래연습장,0,0,0
8776,장안동,서울특별시 동대문구 장한로13길 11-6 지하1층 (장안동)',37.5665015,127.0669296,명,0,0,0
7014,역삼동,서울특별시 강남구 강남대로78길 25 지하1층 (역삼동)',37.4954383,127.0312865,프랜드 노래연습장,0,0,0
7614,둔촌동,서울특별시 강동구 양재대로 1400 (둔촌동),37.5309534,127.1378652,스타노래연습장,0,0,0
8534,도봉동,서울특별시 도봉구 도봉로181길 22  (도봉동2층)',37.6841982,127.0446243,킹 노래방,0,0,0
2398,명륜4가,서울특별시 종로구 창경궁로 236 3층 301호 (명륜4가 이화빌딩)',37.582633,126.9988656,락휴 코인노래연습장,5,2,3
9132,도화동,서울특별시 마포구 도화2길 2 2층 (도화동)',37.5403717,126.9485879,메인 노래연습장,5,3,0
2218,시흥동,서울특별시 금천구 금하로 690 지하층 (시흥동),37.4518146,126.9066471,쌍쌍,0,0,0
3086,답십리동,서울특별시 동대문구 고미술로 99 지상4층 (답십리동 401호~402호)',37.5641159,127.0579858,호박,0,0,0
1016,가양동,서울특별시 강서구 강서로 489-4 (가양동지층),37.5695102,126.8411692,렉스 노래연습장,0,0,0
4516,능동,서울특별시 광진구 능동로 300 (능동지층),37.5564597,127.0794582,쎄븐,5,1,0
10246,잠실동,서울특별시 송파구 백제고분로7길 42-10 지층 (잠실동)',37.5102465,127.0837036,썬노래연습장,0,0,0
6961,삼성동,서울특별시 강남구 삼성로104길 17 2층 (삼성동 대모빌딩)',37.5111703,127.0559825,보노 노래연습장,5,1,1
10008,석촌동,서울특별시 송파구 삼학사로18길 13 (석촌동),37.5045452,127.0986337,허니노래연습장,0,0,0
1251,신림동,서울특별시 관악구 신원로 2 지하1층 (신림동)',37.479581,126.92817,플러스,2.6,65,11
6691,양재동,서울특별시 서초구 강남대로10길 21 지하1층 (양재동)',37.4686119,127.0405062,24시노래연습장,0,0,0
1361,봉천동,서울특별시 관악구 관악로16길 13 (봉천동),37.4804322,126.9534644,타임노래연습장,0,0,0
4455,목동,서울특별시 양천구 목동중앙서로7가길 31 (목동지하1층),37.5334343,126.8644781,에코노래연습장,0,0,0
160,삼성동,서울특별시 강남구 삼성로 517 (삼성동 채널리저브 지하1층 107호),37.5079778,127.0555281,솔레미오 노래연습장,0,0,0
