지번주소,도로명주소,사업장명,위도,경도,kakao_star,kakao_star_nums,kakao_blog_review
오류동,서울특별시 구로구 경인로 192 (오류동),삼익쇼핑센타,37.495043,126.8426543,0,0,0
창동,서울특별시 도봉구 덕릉로57길 30 (창동),삼익쇼핑,37.6400368,127.0372469,0,0,0
대치동,서울특별시 강남구 도곡로 401 (대치동),롯데백화점,37.4969364,127.0533433,3.3,27,64
방화2동,서울특별시 강서구 하늘길 38 (방화동 롯데몰 김포공항),롯데몰 김포공항,37.5713698,126.8029604,3.1,47,183
화곡1동,서울특별시 강서구 강서로 43 (화곡동),롯데쇼핑,37.5315298,126.8465161,3.7,3,0
시흥동,서울특별시 금천구 시흥대로 201 (시흥동),홈플러스 시흥점,37.4519048,126.9007948,2.7,17,8
중곡동,서울특별시 광진구 영화사로 12 (중곡동),신성종합시장,37.558021,127.0886603,0,0,0
삼전동,서울특별시 송파구 백제고분로 207 (삼전동 제이 플레이스),홈플러스 익스프레스 삼전역점,37.5041866,127.0898322,2.8,5,1
영등포동8가,서울특별시 영등포구 영중로 125 (영등포동8가),롯데쇼핑,37.5278091,126.9046989,3.3,27,59
화곡동,서울특별시 강서구 까치산로 106 (화곡동),홈플러스익스프레스 화곡2점,37.5475407,126.8492852,2.5,6,0
전농1동,서울특별시 동대문구 왕산로 214 (전농동),롯데쇼핑,37.5841971,127.051139,3.1,12,12
구로동,서울특별시 구로구 경인로53길 15 (구로동),중앙유통단지,37.5009708,126.8746491,4,5,0
신설동,서울특별시 동대문구 천호대로4길 21 (신설동),서울풍물시장,37.5727219,127.0255127,4.3,21,186
이문동,서울특별시 동대문구 이문로 136 (이문동),이문동웰츠타워,37.598389,127.0620109,5,2,0
길음동,서울특별시 성북구 길음로13길 22 (길음동),홈플러스익스프레스 길음점,37.6092194,127.0192671,1,1,0
구로동,서울특별시 구로구 구일로10길 93 (구로동),사모아종합상가,37.4958801,126.8769553,0,0,0
길동,서울특별시 강동구 진황도로 99 (길동),강동한신휴플러스,37.5360989,127.137484,0,0,0
자양동,서울특별시 광진구 자양번영로6길 20 (자양동),자양종합시장,37.5321339,127.0765342,4.7,6,15
신내2동,서울특별시 중랑구 신내로 201 (신내동),홈플러스 신내점,37.6158381,127.0937421,3.2,15,7
압구정동,서울특별시 강남구 압구정로29길 72-1 (압구정동),신사상가,37.532288,127.028402,0,0,0
장안동,서울특별시 동대문구 한천로46길 42 (장안동),롯데쇼핑,37.5814788,127.0707083,3,3,27
자양동,서울특별시 광진구 뚝섬로 491 (자양동),노룬산시장,37.5364834,127.0648822,3,1,9
잠원동,서울특별시 서초구 잠원로 51 (잠원동),뉴코아아울렛,37.5092391,127.0074591,3.4,23,59
정릉3동,서울특별시 성북구 정릉로 307 (정릉동),롯데마이슈퍼 정릉점,37.6032228,127.0182591,5,1,0
불광동,서울특별시 은평구 통일로 850 (불광동),연서시장,37.6193116,126.921438,3.7,3,37
불광1동,서울특별시 은평구 통일로 842 (불광동),롯데쇼핑,37.618682,126.9220944,3,6,1
고척동,서울특별시 구로구 고척로40길 19 (고척동),개봉프라자,37.501964,126.8513017,0,0,0
가산동,서울특별시 금천구 디지털로 185 (가산동),마리오아울렛 1관,37.4781347,126.8871194,3.1,29,27
수유동,서울특별시 강북구 도봉로67길 18 수유시장 (수유동),수유시장,37.6307463,127.0227328,3.3,17,33
길음1동,서울특별시 성북구 오패산로4길 17 (하월곡동),롯데마켓999 하월곡점,37.6041928,127.0388047,0,0,0
대치동,서울특별시 강남구 남부순환로 2921 (대치동),남서울종합시장,37.4935016,127.0597896,0,0,0
논현1동,서울특별시 강남구 강남대로124길 22 3층 301호 (논현동),영동전통시장,37.5091598,127.0246155,3.4,5,22
화곡동,서울특별시 강서구 월정로30길 69 (화곡동),화곡중앙시장,37.5353638,126.8395586,5,1,9
화곡3동,서울특별시 강서구 화곡로 153 (화곡동),홈플러스,37.5414891,126.8387541,3.6,22,40
독산동,서울특별시 금천구 시흥대로 315 금천롯데캐슬골드파크4차 (독산동),롯데캐슬 골드파크 4차 마르쉐도르 960,37.4609911,126.8962652,5,1,0
미아동,서울특별시 강북구 도봉로 45 (미아동),숭인시장,37.6131312,127.029462,5,2,5
개봉1동,서울특별시 구로구 경인로 319 (개봉동외 1필지 대림프라자 101호),홈플러스 익스프레스 개봉점,37.4976102,126.8556191,5,2,1
가산동,서울특별시 금천구 벚꽃로 266 (가산동),마리오아울렛 3관,37.4784856,126.8850273,3.3,18,33
번1동,서울특별시 강북구 한천로123길 26 (번동),북부시장,37.6362378,127.0303582,5,2,1
삼성동,서울특별시 강남구 테헤란로 517 (삼성동 무역센터현대백화점),현대백화점 무역센터점,37.5086329,127.0598879,4.2,54,237
가락동,서울특별시 송파구 송파대로 345 (가락동 헬리오시티),이마트에브리데이 송파점,37.4976183,127.1072604,0,0,0
잠실3동,서울특별시 송파구 석촌호수로 61 (잠실동),롯데쇼핑,37.5107806,127.0861952,0,0,0
중계2.3동,서울특별시 노원구 동일로204가길 46 (중계동),이천일아울렛 중계점,37.6412784,127.0678916,3.5,17,25
방이2동,서울특별시 송파구 올림픽로32길 20 (방이동),롯데쇼핑,37.5142165,127.1092382,1,1,0
자양동,서울특별시 광진구 아차산로30길 39 (자양동),조양시장,37.5389967,127.0674893,4.3,4,2
구산동,서울특별시 은평구 서오릉로 145 (구산동),홈플러스,37.6112912,126.9164939,0,0,0
낙원동,서울특별시 종로구 삼일대로 428 낙원상가 506호 (낙원동),낙원상가,37.5727653,126.9879193,3.9,26,59
잠실동,서울특별시 송파구 올림픽로 203 (잠실동),잠실중앙상가,37.5124982,127.0933434,0,0,4
영등포동5가,서울특별시 영등포구 영등포로 225 (영등포동5가),영신상가,37.51992,126.9066546,0,0,11
망우3동,서울특별시 중랑구 용마산로 494 (망우동),홈플러스,37.5949291,127.100249,2.5,11,8
도곡동,서울특별시 강남구 논현로28길 9 유진빌딩 (도곡동),홈플러스익스프레스 도곡2점,37.4827352,127.0433774,5,2,1
장안동,서울특별시 동대문구 한천로 42 (장안동),노브랜드 동대문 장안점,37.5663632,127.0621798,4.9,7,54
등촌동,서울특별시 강서구  화곡로  398 (등촌동),홈플러스,37.55847,126.854819,3.6,22,40
잠실3동,서울특별시 송파구 올림픽로 240 (잠실동),롯데하이마트잠실점,37.5110794,127.0981638,3.6,24,22
봉천동,서울특별시 관악구 청림3길 10 (봉천동),관악쇼핑,37.4886286,126.9595364,0,0,1
구의동,서울특별시 광진구 광나루로56길 34 (구의동),구의현대종합상가,37.5381387,127.0966512,0,0,0
수유동,서울특별시 강북구 삼양로91길 11-12 (수유동),수유북부시장,37.636459,127.0162782,0,0,0
불광동,서울특별시 은평구 통일로 780 (불광동),불광미성상가,37.6151105,126.9280907,0,0,0
중계동,서울특별시 노원구 동일로204가길 12 (중계동),홈플러스,37.6398605,127.0686561,3.1,20,15
상계동,서울특별시 노원구 한글비석로 396 (상계동),상계역전종합상가,37.6619876,127.0731379,5,1,1
가양동,서울특별시 강서구 양천로 410 (가양동),노브랜드 강서가양점,37.5648129,126.8465139,4.9,15,21
도곡2동,서울특별시 강남구 남부순환로 2804 (도곡동 아카데미스위트),아카데미프라자,37.4899432,127.0504002,0,0,0
송중동,서울특별시 강북구 도봉로 34 (미아동),트레지오,37.6120803,127.0307347,0,0,0
가양동,서울특별시 강서구 허준로 16-12 동남빌딩 (가양동),㈜이마트에브리데이 양천향교역점,37.5699001,126.8432541,1,1,0
신사동,서울특별시 강남구 압구정로46길 5-2 (신사동),홈플러스 익스프레스 압구정점,37.5280409,127.0368818,3,2,0
삼성동,서울특별시 강남구 봉은사로 524 (삼성동),코엑스 호텔아케이드,37.5128784,127.0572911,0,0,0
반포동,서울특별시 서초구 신반포로 23 (반포동),엘루체,37.50173,126.9871996,2.2,17,42
삼각산동,서울특별시 강북구 삼양로27길 19 (미아동),롯데쇼핑,37.6175119,127.0208266,0,0,0
창동,서울특별시 도봉구 덕릉로63가길 61 (창동),대우상가,37.642614,127.0373513,0,0,0
삼성1동,서울특별시 강남구 테헤란로 521 (삼성동),파르나스몰,37.509545,127.0608688,4,2,74
구의동,서울특별시 광진구 광나루로56길 85 (구의동),테크노-마트21,37.5357263,127.0957093,0,0,0
역삼동,서울특별시 강남구 역삼로 310 (역삼동),한솔필리아,37.4992883,127.0484325,1.5,3,1
도봉동,서울특별시 도봉구 도봉로180나길 41 (도봉동),도봉한신쇼핑상가,37.6843208,127.0499431,0,0,0
구로동,서울특별시 구로구 경인로54길 4 (구로동),공구상가일번지,37.500675,126.877525,0,0,0
중화2동,서울특별시 중랑구 동일로129길 35 (중화동),홈플러스,37.5992074,127.0775475,2.5,11,8
하계동,서울특별시 노원구 한글비석로 57 (하계동 세이브존),세이브존,37.6366168,127.0689293,2.8,9,12
인의동,서울특별시 종로구 창경궁로 109 (인의동),세운스퀘어,37.57169,126.996457,2.9,17,4
대치동,서울특별시 강남구 남부순환로 2912 (대치동 개포우성아파트),그랑프리,37.49071,127.0561424,0,0,0
풍납동,서울특별시 송파구  올림픽로51길  52 (풍납동),홈플러스,37.5339405,127.1162448,5,4,0
화양동,서울특별시 광진구 능동로13길 39 (화양동),한아름시장,37.5439592,127.0697702,0,0,1
불광1동,서울특별시 은평구 불광로 121 (불광동),홈플러스,37.6176438,126.9329056,1.5,6,0
삼성동,서울특별시 강남구 영동대로 513 (삼성동),코엑스 몰,37.5116621,127.0594275,3.9,22,79
상계동,서울특별시 노원구 동일로 1414 (상계동),롯데백화점 노원점,37.6551095,127.0611155,3,39,102
돈암동,서울특별시 성북구 성북로4길 52 (돈암동),동소문스카이상가,37.5958787,127.0104756,0,0,0
마곡동,서울특별시 강서구 마곡서로 158 마곡센트럴타워Ⅱ 103~110 118 119호 (마곡동),이마트에브리데이 마곡점,37.5680891,126.8254241,4.5,2,2
압구정1동,서울특별시 압구정로 201 (구현대아파트),금강상가,37.5301797,127.0290409,0,1,0
송파1동,서울특별시 송파구 가락로 183 (송파동),한화건설 송파지점,37.505172,127.1145353,0,0,0
봉천동,서울특별시 관악구 남부순환로 1820 (봉천동),라붐아울렛,37.480976,126.9521426,2.5,10,4
명일동,서울특별시 강동구  고덕로62길  55 (명일동),주양쇼핑,37.5523979,127.1534733,4.1,21,0
제기동,서울특별시 동대문구 고산자로36길 3 2층 (제기동),노브랜드 경동시장점,37.5790378,127.0391429,4,5,19
청담동,서울특별시 강남구 학동로101길 26 (청담동),청담삼익시장,37.5224875,127.0577062,0,0,0
길음동,서울특별시 성북구 동소문로 227 (길음동),길음시장,37.6027852,127.02161,5,1,9
당산동2가,서울특별시 영등포구 영등포로 109 (당산동2가),영등포유통관리,37.5224159,126.8939463,0,0,0
길음동,서울특별시 성북구 도봉로 17 신세계 이마트 미아점 (길음동),이마트 미아점,37.6108546,127.0299225,2.5,36,14
수서동,서울특별시 강남구 광평로51길 49 (수서동 주공아파트),수서종합상가,37.4920952,127.1008768,0,0,0
영등포동4가,서울특별시 영등포구 영중로 15 (영등포동4가),타임스퀘어,37.5172058,126.903714,4,202,320
동선동1가,서울특별시 성북구 동소문로 106 (동선동1가),유타쇼핑몰,37.5925804,127.0170935,5,1,4
신사1동,서울특별시 은평구 갈현로 10 (신사동),홈플러스,37.5988486,126.9103452,2,5,0
불광동,서울특별시 은평구 통일로 856 (불광동),메트로,37.6197065,126.9216803,5,1,0
내발산동,서울특별시 강서구 강서로 267 (내발산동),롯데쇼핑,37.5496059,126.835939,0,0,0
가산동,서울특별시 금천구 디지털로10길 9 (가산동),현대아울렛,37.4776665,126.8891641,3.4,30,24
신림동,서울특별시 관악구 신림로29길 8 (신림동),신림현대종합상가,37.4754742,126.9321206,0,0,0
미아동,서울특별시 강북구 삼양로 247 (미아동),롯데쇼핑,37.6255182,127.017747,0,0,0
신문로1가,서울특별시  새문안로 91 1층 (고려빌딩),홈플러스,37.5704971,126.974762,1.5,2,6
방학동,서울특별시 도봉구 방학로 223 (방학동),신동아프라자,37.6613238,127.0275081,0,0,0
천호동,서울특별시 강동구 구천면로 189 (천호동),이천일아울렛 천호점,37.541349,127.125782,3.3,7,3
상도동,서울특별시 동작구 상도로 102 (상도동 성대시장),성대종합시장,37.4999427,126.9317763,4.1,9,10
전농동,서울특별시 동대문구 전농로 147 (전농동),전농로타리시장,37.5779861,127.0572688,4.3,3,3
방배1동,서울특별시 방배로33길 29,롯데슈퍼 방배2점,37.4912505,126.9892884,3.3,4,0
