지번주소,도로명주소,사업장명,위도,경도,kakao_star,kakao_star_nums,kakao_blog_review
창동,서울특별시 도봉구 노해로65길 11 한성빌딩 1층 101102호 (창동),메가엠지씨커피창동이마트점,37.6518117,127.0462088,0,0,0
신월동,서울특별시 양천구 남부순환로58길 33 105호 (신월동),12월,37.5291779,126.8313242,2,3,3
용두동,서울특별시 동대문구 무학로26길 21 (용두동),카페홍,37.5734874,127.0319634,0,0,1
상도동,서울특별시 동작구 양녕로 182 지상1층 (상도동),커피나무신상도점,37.497523,126.9434561,5,1,0
여의도동,서울특별시 영등포구 국제금융로 10 쓰리아이에프씨동 8층 (여의도동),일리카페IBM점,37.5245995,126.9253589,5,1,0
신도림동,서울특별시 구로구 경인로 662 (신도림동디큐브시티 판매동 4층),,37.5083236,126.8884274,0,0,0
마곡동,서울특별시 강서구 마곡중앙6로 42 사이언스타 1층 123호 (마곡동),더벤티 마곡점,37.5601077,126.8320824,0,0,2
답십리동,서울특별시 동대문구 답십리로 80 1층 (답십리동),원더월커피로스터스,37.5747361,127.0495211,0,0,0
성수동1가,서울특별시 성동구 성수일로11길 15 지상1층 104105호 (성수동1가 뚝섬리버빌),크로스빈 ,37.5494953,127.0498446,0,0,0
방화동,서울특별시 강서구 방화대로34길 80 2층 (방화동 1동),모리아스토리,37.5707399,126.8209003,0,0,0
신길동,서울특별시 영등포구 영등포로 353 103호 108-1호 (신길동),이디야커피 신길역점,37.5150723,126.9180962,3,2,3
노량진동,서울특별시 동작구 만양로 19 107호 (노량진동 신동아리버파크상가),모코커피,37.5077974,126.9447636,0,0,0
잠실동,서울특별시 송파구 올림픽로 240 롯데마트 잠실점 6층 (잠실동),더카페 롯데마트 잠실점,37.5110794,127.0981638,0,0,3
면목동,서울특별시 중랑구 봉우재로 128 3층 (면목동),구디스,37.5926964,127.0873246,5,1,2
문래동3가,서울특별시 영등포구 경인로 775 (문래동3가 에이스하이테크시티 1층 1-108호),더치앤빈 문래점,37.5143815,126.8991421,4,4,1
화곡동,서울특별시 강서구 강서로 161 1층 (화곡동 1동),이디야커피,37.5411287,126.8405606,4,6,3
능동,서울특별시 광진구 능동로 294 능동빌딩 1층 (능동),일커피,37.5558528,127.0791073,0,0,2
옥인동,서울특별시 종로구 옥인길 2 1층 (옥인동),라온,37.5806054,126.9683737,5,1,1
고척동,서울특별시 구로구 중앙로14길 15-1 4층 (고척동),리커버리 휘트니스,37.5070291,126.8617167,5,1,0
명륜3가,서울특별시 종로구 창경궁로 235 (명륜3가지상1~2층),스타벅스성대입구점,37.5829835,126.9983762,3.7,11,11
효창동,서울특별시 용산구 효창원로62길 19 1층 101호 (효창동),엔터커피,37.5398884,126.9623508,4.5,2,0
가양동,서울특별시 강서구 양천로 366 1층 (가양동 1동),까페베네,37.5672569,126.8429031,4,13,5
대현동,서울특별시 서대문구 이화여대길 75 6층 (대현동),놀숲 이대점,37.559057,126.9443101,3.5,17,6
마곡동,서울특별시 강서구 공항대로 247 127호 232호 (마곡동 가양1동 퀸즈파크나인),할리스커피 마곡퀸즈파크나인점,37.5593135,126.8352391,1.6,5,8
충무로1가,서울특별시 중구 퇴계로 109 (충무로1가(지상1층)),공차,37.5609568,126.9838808,1.4,8,11
마곡동,서울특별시 강서구 마곡중앙2로 5 1층 102호 (마곡동),셀렉토커피 마곡메트로비즈타워점,37.5584781,126.8274538,3,2,2
갈월동,서울특별시 용산구 한강대로 251 서조빌딩 1층 (갈월동),카페:로,37.5407641,126.9725999,5,4,24
방이동,서울특별시 송파구 가락로 240 장안빌딩 1층 101102호 (방이동),쿠카쿠 방이점,37.5094789,127.1180652,5,1,5
풍납동,서울특별시 송파구 올림픽로43길 88 서울아산병원 동관 H마트 지하1층 (풍납동),공차 서울아산병원점,37.5265762,127.107935,0,0,0
내발산동,서울특별시 강서구 강서로52길 13 1층 (내발산동 우장산동),카페드아야,37.5579215,126.8390127,4,8,6
마곡동,서울특별시 강서구 마곡동로3길 26 랑데르2 1층 101호 (마곡동),카페희다 마곡점,37.5601974,126.8305202,4.1,7,76
구로동,서울특별시 구로구 새말로 97 (구로동 신도림테크노마트 제1층 제008호),이디야커피 신도림테크노마트점,37.5070143,126.8902633,3.7,7,2
신당동,서울특별시 중구 다산로 47 (신당동1층),향기,37.5487781,127.0071678,0,0,0
천호동,서울특별시 강동구 천호대로 1089 지하층 b31호 (천호동 강동 헤르셔),매머드익스프레스 강동역점,37.5365922,127.1334297,5,1,0
자양동,서울특별시 광진구 자양번영로 50-1 101호 (자양동),커피앤버스,37.5340499,127.0761953,5,1,3
장안동,서울특별시 동대문구 장한로 10 1~2층 (장안동 조광빌딩),스타벅스 커피,37.5623559,127.0655112,3.7,10,15
대방동,서울특별시 동작구 여의대방로36길 105 1층 (대방동),디저트 39 대방점,37.5088509,126.9318725,5,1,2
등촌동,서울특별시 강서구 공항대로41길 51 1층 129호 (등촌동 3동 세신그린코아),등촌빈스토리,37.5602339,126.8457908,5,2,0
쌍문동,서울특별시 도봉구 삼양로144길 25 1층 (쌍문동),커피드림,37.651792,127.0143298,4.5,2,0
천호동,서울특별시 강동구 천호대로 1043 (천호동),,37.5376208,127.128117,0,0,0
마곡동,서울특별시 강서구 마곡중앙5로1길 20 마곡나루역보타닉비즈타워 1층 119호 (마곡동),언니네커피,37.5686549,126.8267508,5,1,3
신길동,서울특별시 영등포구 여의대방로 145 1층 (신길동 바른병원),할리스커피 보라매역점,37.5002105,126.9199903,3.2,6,6
대현동,서울특별시 서대문구 신촌역로 10 (대현동 혜우빌딩 2층),테이스트,37.5576545,126.9432653,0,0,0
북가좌동,서울특별시 서대문구 증가로32안길 56 1층 101호 (북가좌동),씨유북가좌제일점,37.5851227,126.9138978,0,0,0
신림동,서울특별시 관악구 대학길 57 1층 (신림동),버스정류장,37.4681606,126.937803,0,0,0
성수동1가,서울특별시 성동구 왕십리로4길 28-2 1층 (성수동1가),로우커피스탠드,37.5471329,127.0466147,4.4,63,159
낙원동,서울특별시 종로구 수표로 133 (낙원동),폴링,37.5724031,126.9882024,0,0,0
화곡동,서울특별시 강서구 가로공원로 216 1층 (화곡동 1동 씨유마트내),씨유 강서가로공원점,37.5372839,126.8399757,5,1,0
숭인동,서울특별시 종로구 청계천로 375 1층 102호 (숭인동),키노빈스,37.5715295,127.0191176,0,0,1
영등포동7가,서울특별시 영등포구 영중로 75-1 1층 (영등포동7가),매머드익스프레스영등포시장역점,37.5231287,126.9048987,5,4,1
홍제동,서울특별시 서대문구 홍제내4길 4-11 지하1층 (홍제동),올바른커피,37.5872299,126.9364709,2.7,3,2
염창동,서울특별시 강서구 양천로71길 14 가동 1층 (염창동),데일리카페,37.5523312,126.871532,5,2,0
신천동,서울특별시 송파구 올림픽로 435 B동 지상2층 205호 (신천동 파크리오상가),카페 크링,37.5212331,127.1086482,0,0,0
상암동,서울특별시 마포구 월드컵북로 361 1층 110호 (상암동 DMC이안상암2단지),커피다,37.5771051,126.8913998,5,2,3
신내동,서울특별시 중랑구 봉화산로 221 132133134호 (신내동 동성타워프라자),카페류,37.6080311,127.0972158,0,0,1
충정로2가,서울특별시 서대문구 충정로 53 (충정로2가유원골드타워1층),스타벅스 경기대점,37.5637531,126.9646501,4.5,4,1
노량진동,서울특별시 동작구 노량진로 159 (노량진동 1층),꼴깍까페,37.5139795,126.9436427,0,0,0
구로동,서울특별시 구로구 도림로20길 18 덕창빌딩 1층 101호 (구로동),푸른달,37.4889857,126.8924293,3,1,9
대림동,서울특별시 영등포구 시흥대로 651 (대림동 제1호건물 1층일부),카페누아,37.4901605,126.9070151,0,0,1
충정로2가,서울특별시 서대문구 충정로 67-1 (충정로2가),카페가가,37.5647529,126.965435,4,2,0
자양동,서울특별시 광진구 뚝섬로30가길 9 1층 (자양동),쿠키빠와21커피크리머리,37.5352572,127.0658265,4.8,6,0
구로동,서울특별시 구로구 구로중앙로26길 24 서울중앙교회 1층 (구로동),갑자기,37.4979813,126.8869589,5,1,0
망원동,서울특별시 마포구 방울내로 79 103호 (망원동),카페인중독 망원점,37.5607141,126.9040534,5,2,15
관철동,서울특별시 종로구 종로12길 16 1~3층 (관철동),달콤커피 종로종각점,37.5693367,126.9856039,1.3,4,11
신정동,서울특별시 양천구 목동동로 177 104호 (신정동 삼성쉐르빌2),리인,37.5217112,126.8703916,5,1,26
등촌동,서울특별시 강서구 강서로 462 1층 104호 (등촌동 대륭드림타워 3동),이디야,37.5666172,126.841407,1.4,5,1
연남동,서울특별시 마포구 동교로38길 27 1층 (연남동),크림슨코크,37.5617342,126.9255814,4.2,24,68
휘경동,서울특별시 동대문구 외대역동로4길 48 1층 (휘경동),카페드립,37.5930399,127.0684651,0,0,1
구로동,서울특별시 구로구 디지털로 306 (구로동대륭포스트타워2차 107호),투썸플레이스,37.4859916,126.8977359,2.7,19,22
동자동,서울특별시 용산구 한강대로104길 6 2층 (동자동),CAFE마린블루,37.5502224,126.9724921,0,0,0
대림동,서울특별시 영등포구 도림로 144 88월드타워 A동 112호 (대림동),빽다방 대림역점,37.4932685,126.8982249,0,0,0
화양동,서울특별시 광진구 광나루로 370 1층 101호 (화양동 화양동 동도센트리움 캠퍼스파크),19티,37.5476409,127.0708939,5,3,5
도렴동,서울특별시 종로구 새문안로5길 37 (도렴동도렴빌딩 지하1층 43호),발로렘 커피,37.5736565,126.9742286,0,0,0
등촌동,서울특별시 강서구 공항대로41길 51 1층 101~102호 (등촌동 3동 세신그린코아),빽다방 등촌성당점,37.5602339,126.8457908,2,4,1
화곡동,서울특별시 강서구 곰달래로36길 13 1층 (화곡동 2동),달리는커피 화곡점,37.5304874,126.8538976,2.3,3,1
진관동,서울특별시 은평구 진관2로 57-37 지하1층 상가111호 (진관동 은평뉴타운우물골),찐Days,37.6371052,126.9281691,0,0,1
월계동,서울특별시 노원구 화랑로 337 103호 (월계동),메가엠지씨커피석계역점,37.6152426,127.0651817,1.3,6,1
성내동,서울특별시 강동구 양재대로 1319 303호 (성내동),놀숲 둔촌역점,37.5241988,127.1344526,5,2,3
숭인동,서울특별시 종로구 지봉로 18 지상1층 2호 (숭인동),셀렉토커피 동묘역점,37.5717417,127.0160004,5,2,0
명륜3가,서울특별시 종로구 성균관로 25-2 5층 (명륜3가 수선관),레브,37.5879535,126.9921594,5,1,0
구의동,서울특별시 광진구 구의로 4 1층 (구의동),이디야커피,37.5383661,127.0893046,4,2,1
휘경동,서울특별시 동대문구 회기로 188 1층 (휘경동),공차,37.589774,127.0568343,4.2,12,9
성내동,서울특별시 강동구 성내로9길 45 (성내동),원두볶는 사람들,37.5307452,127.124581,5,2,0
성내동,서울특별시 강동구 풍성로56길 40 1층 101호 (성내동),쿠스범스,37.5274985,127.1344772,0,0,0
원효로1가,서울특별시 용산구 원효로 268 지상1층 101호 (원효로1가),카페맑음,37.5409486,126.9704582,5,1,4
방학동,서울특별시 도봉구 도봉로143길 62 1층 (방학동),핑크,37.6619216,127.0386029,0,0,0
신설동,서울특별시 동대문구 안암로 6 (신설동),별빛,37.5776266,127.0244211,5,2,0
성수동1가,서울특별시 성동구 왕십리로10길 5 1층 (성수동1가),성수동 더블랙,37.547096,127.0452206,4,5,7
가락동,서울특별시 송파구 오금로46길 27 1층 102호 (가락동 진영빌딩),커피베이 송파개롱점,37.4950538,127.1346588,0,0,1
장안동,서울특별시 동대문구 천호대로 375 (장안동(지상1층)),카페베네 장안점,37.5623943,127.0607544,2.4,9,0
북아현동,서울특별시 서대문구 이화여대8길 62 상가동 1층 105호 (북아현동 두산아파트),문카페,37.5592794,126.9502937,5,2,1
남가좌동,서울특별시 서대문구 명지대길 50-7 1층 (남가좌동),모두다가치 카페,37.582495,126.923996,5,1,5
상계동,서울특별시 노원구 동일로 1393 108호 (상계동),명랑핫도그,37.6529519,127.0605764,4,3,4
성내동,서울특별시 강동구 양재대로89길 60 1층 (성내동),LaRa Coffee,37.5273164,127.1323619,0,0,0
서교동,서울특별시 마포구 잔다리로 71 아내뜨빌딩 1층 101-2호 (서교동),코코부코,37.5538945,126.9165361,5,2,2
마곡동,서울특별시 강서구 공항대로 220 우성에스비타워Ⅱ 1층 109호 (마곡동),그날 그시간,37.5587038,126.8317657,5,1,3
신림동,서울특별시 관악구 난곡로 250 1층 (신림동),이디야 신림미성점,37.4765399,126.915992,3.2,7,1
구로동,서울특별시 구로구 디지털로33길 12 우림이비지센터2차 1층 111호 (구로동),빈웍스 구로디지털점,37.4865757,126.8961598,0,0,0
대현동,서울특별시 서대문구 이화여대길 24 1층 (대현동),메가엠지씨커피 이대점,37.5578841,126.9459892,5,2,2
구의동,서울특별시 광진구 천호대로 671 1층 103호 (구의동),공차아차산역점,37.5513392,127.0905325,3,6,3
명일동,서울특별시 강동구 구천면로 510 1층 (명일동),갤러리83,37.5490124,127.1549937,0,0,0
방화동,서울특별시 강서구 양천로 97 강서신협 4층 (방화동),방화동커피,37.5735751,126.814764,0,0,2
여의도동,서울특별시 영등포구 국회대로72길 17 1층 108호 (여의도동 KCC파크타운 ),9카페,37.5295633,126.9212749,0,0,3
성내동,서울특별시 강동구 성내로 48 (성내동),투썸플레이스 강동구청점,37.5284555,127.1253771,2.7,3,1
구의동,서울특별시 광진구 구의강변로 53 지하1~1층 B101101호 (구의동 옥산그린타워),투썸플레이스강변역점,37.535734,127.0919002,3.6,5,0
화양동,서울특별시 광진구 군자로 26 1층 (화양동),에그마카슈 건대점,37.5455853,127.0708268,5,1,1
구로동,서울특별시 구로구 공원로7길 29 (구로동),가또수크레,37.5015556,126.8876957,0,0,0
신림동,서울특별시 관악구 호암로22길 28 지하1층 (신림동),르호봇 ,37.4687741,126.9343026,5,3,0
월계동,서울특별시 노원구 마들로3길 15 (월계동),스타벅스월계이마트점,37.6269007,127.061334,3.8,13,4
자양동,서울특별시 광진구 능동로 90 1층 (자양동),투썸플레이스,37.5386303,127.0709719,3.1,7,6
문래동3가,서울특별시 영등포구 문래로 98 한영빌딩 1층 102-1102-2102-3호 (문래동3가),쉐프조,37.5192531,126.8927294,3.6,65,89
가락동,서울특별시 송파구 동남로 161 지하1층 B101호 (가락동 현대빌리지),앤탑PC방,37.4927672,127.1280938,2.5,4,0
을지로6가,서울특별시 중구 장충단로 275 (을지로6가두산타워 (지상5층 121호)),빈스빈스,37.5688912,127.0087831,2.9,15,11
신천동,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 지하1층 (신천동),키친205,37.5125702,127.1025625,2.6,14,92
개봉동,서울특별시 구로구 개봉로3길 94 (개봉동 1층),요거프레소,37.4861849,126.8510877,1,2,1
서교동,서울특별시 마포구 어울마당로 45-1 (서교동 12층),드롭탑홍대점,37.5493368,126.9205321,2.5,11,20
망우동,서울특별시 중랑구 망우로 470 1층 (망우동),할리스커피 망우점,37.6001415,127.1043415,5,1,1
성내동,서울특별시 강동구 성안로 100 1층 101호 (성내동),카페 인,37.5321807,127.1330124,1,1,0
구로동,서울특별시 구로구 디지털로33길 50 104(일부)호 (구로동 벽산디지털밸리7차),커피코트 구로벽산7차점,37.4876404,126.894066,5,1,3
미아동,서울특별시 강북구 도봉로53길 16 KH하우스 12층 (미아동),워더커피,37.6268856,127.0248653,0,0,7
면목동,서울특별시 중랑구 면목로56길 61 1층 (면목동),니에르,37.5839471,127.0918462,0,0,2
상도동,서울특별시 동작구 양녕로29길 56 1층 (상도동),마그마힐링카페,37.5001703,126.9412981,0,0,0
관철동,서울특별시 종로구 우정국로2길 34 3층 (관철동),맥스피드 종각점,37.5694563,126.9849627,2.3,3,0
회기동,서울특별시 동대문구 경희대로 10 지하1층 지상1~3층 (회기동),,37.5924074,127.0526775,0,0,0
창신동,서울특별시 종로구 지봉로7길 7 1층 (창신동),카페 슬로우스트림,37.5746889,127.0152786,5,5,2
상계동,서울특별시 노원구 동일로242길 87 1층 108109호 (상계동),커피나무향기,37.6746539,127.0599619,5,3,0
공릉동,서울특별시 노원구 공릉로 146 (공릉동 1층. 78호),이디야커피,37.6230862,127.0795509,3.7,10,7
양평동3가,서울특별시 영등포구 양산로 71 1층 (양평동3가),이디야남부고용센터점,37.525031,126.8911141,5,2,0
개봉동,서울특별시 구로구 개봉로3길 26 (개봉동 1층),이디야커피 개봉중앙점,37.4864603,126.854895,2,4,3
신길동,서울특별시 영등포구 영등포로62길 2 (신길동 명성타워힐 2층3층),레어그루브,37.5151679,126.9172671,3.4,12,34
동빙고동,서울특별시 용산구 서빙고로 291 에이동 2층 201호 (동빙고동),빙고180,37.5210095,126.9958551,5,3,0
양평동5가,서울특별시 영등포구 양평로22가길 1 지하1층 (양평동5가),커피런,37.538383,126.8939059,0,0,1
문래동3가,서울특별시 영등포구 경인로 775 지하1층 119호 (문래동3가 에이스하이테크시티 ),쥬씨,37.5143815,126.8991421,4.7,7,1
자양동,서울특별시 광진구 동일로20길 105-2 1~2층 (자양동),라운지탐탐,37.5398604,127.0693794,0,0,0
내발산동,서울특별시 강서구 수명로 68-27 1층 103~104호 (내발산동 웨스트엔드문화센터),이디야커피 마곡수명산점,37.5526803,126.8266751,2,1,0
가산동,서울특별시 금천구 디지털로 130 지상1층 101일부호 (가산동 남성프라자),만랩커피 가산디지털점,37.475466,126.8818632,4,1,1
잠실동,서울특별시 송파구 석촌호수로 84 1층 6호 (잠실동),Fruit to go,37.5087861,127.0866902,0,0,0
창천동,서울특별시 서대문구 연희로 30 1층 103호 (창천동),MMM,37.5613908,126.9272167,0,0,0
