지번주소,도로명주소,사업장명,위도,경도,kakao_star,kakao_star_nums,kakao_blog_review
영등포동3가,서울특별시 영등포구 영중로4길 25-1,셜록홈즈 영등포점,37.5178174,126.9091798,2.2,5,29
한강로3가,서울특별시 용산구 한강대로23길 55 아이파크몰 7층,미션브레이크,37.5297718,126.9647415,0,0,68
갈현동,서울특별시 은평구 연서로29길 16 3층,셜록홈즈 연신내점,37.6192693,126.9185698,5,1,29
명륜2가,서울특별시 종로구 창경궁로 258-12 2층,시크릿챔버,37.5836983,127.0003476,4.5,17,135
동숭동,서울특별시 종로구 대학로10길 12 5층,비트포비아 대학로,37.5816161,127.0028255,4,7,42
동숭동,서울특별시 종로구 대학로12길 15,더큐이스케이프 대학로점,37.5827358,127.0028633,4.1,8,13
동숭동,서울특별시 종로구 대학로 130 지하 1층,비밀의화원 대학로점,37.582893,127.0021374,4.5,8,42
동숭동,서울특별시 종로구 동숭길 143 로얄케스트,덤앤더머 방탈출카페,37.5832572,127.0024449,4.1,10,68
동숭동,서울특별시 종로구 대학로10길 5 4층,셜록홈즈 대학로점,37.581862,127.0025975,5,1,45
명륜4가,서울특별시 종로구 대명길 9 지하2층,비밀의화원 시네마틱 혜화점,37.5833797,127.0009767,5,1,4
동숭동,서울특별시 종로구 동숭길 41 5층,룸 이에스씨,37.5801069,127.0042962,5,4,16
관철동,서울특별시 종로구 삼일대로17길 17 4층 셜록홈즈 종각,셜록홈즈 종각점,37.5690643,126.9865096,2,1,33
안국동,서울특별시 종로구 율곡로3길 66-7,cafe 탈출카페,37.5786649,126.9825347,4.1,10,68
명동2가,서울특별시 중구 명동10길 13 4층,비트포비아 명동,37.5632664,126.9854332,0,0,14
명동2가,서울특별시 중구 명동길 38 8층뉴발란스매장 내,알카트래즈,37.5636223,126.9844144,5,1,2
