소재지전체주소,도로명전체주소,사업장명,위도,경도,업태구분명,kakao_star,kakao_star_nums,kakao_blog_review
송파구,"서울특별시 서초구 서초대로 411 (서초동,GT타워 지하1층 8호)",최가네황보,37.4979716,127.0259786,한식,5,1,0
영등포구,서울특별시 송파구 오금로11길 14 (방이동),허브족발,37.5144626,127.1089018,한식,3.9,132,238
영등포구,"서울특별시 서대문구 연희로10길 19, 1층 (연희동)",삐순이기사식당,37.5660959,126.9318039,한식,0,0,1
용산구,"서울특별시 서대문구 인왕시장길 46, 1층 (홍제동)",산딸기,37.5916157,126.9445814,한식,0,0,0
용산구,"서울특별시 마포구 와우산로21길 36-12, 1층 (서교동)",유진막국수,37.5529738,126.9221287,한식,3.1,32,30
중구,"서울특별시 송파구 송파대로37길 56, 103호 (석촌동)",백년토종삼계탕,37.5000792,127.1061937,한식,5,5,1
송파구,"서울특별시 성동구 상원길 40, 상가동 106호,107호 (성수동1가, 뚝섬현대아파트)",마천장어,37.5475298,127.0488545,한식,2,1,3
중랑구,서울특별시 성북구 보문로13길 14 (보문동7가),고향식당,37.5801766,127.0212378,한식,0,0,0
종로구,"서울특별시 서대문구 충정로11길 8, 1층 (충정로2가)",향진,37.5657235,126.9658572,한식,0,0,0
중구,"서울특별시 서초구 매헌로 34, 지하 1층 (양재동)",보은집,37.4640419,127.0348038,한식,4.3,3,1
영등포구,서울특별시 서대문구 연세로11길 27 (창천동),폴라리스,37.5588708,126.9353112,한식,5,2,0
광진구,"서울특별시 마포구 만리재로 23 (공덕동, 1층 5호)",마음엄마밥,37.5447875,126.9537336,한식,0,0,0
성동구,"서울특별시 마포구 월드컵북로8길 7 (연남동, 1층)",장충왕족발,37.5589485,126.9181965,한식,3.4,5,0
종로구,"서울특별시 서초구 방배중앙로 169 (방배동,1층 1-3호)",복코돼지,37.494105,126.9859962,한식,0,0,1
양천구,"서울특별시 송파구 오금로59길 3-5, 지상1층 (거여동)",남원오리추어탕,37.49387,127.1436404,한식,0,0,0
양천구,서울특별시 서대문구 연세로7길 30 (창천동),전주식당,37.5577882,126.935188,한식,5,1,1
중랑구,서울특별시 성북구 장위로 42 (장위동),홍어 나라,37.6141554,127.0411833,한식,5,1,1
영등포구,"서울특별시 송파구 올림픽로35길 112, 장미아파트 비상가 지하1층 (신천동)",미정국수0410동여의도점,37.517819,127.1017233,한식,3.2,5,2
용산구,"서울특별시 성북구 개운사길 22-6 (안암동5가,(지상2층))",만수김밥,37.5873441,127.0296998,한식,1,2,0
구로구,"서울특별시 마포구 희우정로20길 36, 지층 서측 (망원동)",황금 돼지,37.5557,126.902338,한식,0,0,0
