지번주소,도로명주소,사업장명,위도,경도,kakao_blog_review,kakao_star,kakao_star_nums,kakao_keyword
신사동,서울특별시 강남구 압구정로 328 효정빌딩 지하1층 (신사동),포텐,37.5283445,127.0374737,0,0,0,신사동 포텐
신사동,서울특별시 강남구 압구정로 334 지하1층 (신사동),피크 PC방,37.5281863,127.0380787,0,0,0,신사동 피크 PC방
신사동,서울특별시 강남구 압구정로28길 28 지하1층 (신사동),큐브PC방,37.5247742,127.0275307,1,4.2,5,신사동 큐브PC방
신사동,서울특별시 강남구 압구정로2길 60 지하1층 (신사동 MG타워),레몬PC방,37.5179388,127.0213304,0,2,1,신사동 레몬PC방
신사동,서울특별시 강남구 압구정로30길 12 (신사동),오즈쓰리팝 PC방,37.526711,127.0290969,1,3,4,신사동 오즈쓰리팝 PC방
역삼동,서울특별시 강남구 언주로103길 32 지하1 층 (역삼동),스타PC방,37.5062415,127.0374872,6,0,0,역삼동 스타PC방
역삼동,서울특별시 강남구 언주로85길 23-6 (역삼동),피크PC방 역삼,37.5004677,127.0413896,0,2.5,4,역삼동 피크PC방 역삼
역삼동,서울특별시 강남구 언주로93길 30 (역삼동),피씨앤쿡 PC방,37.5034777,127.0395947,0,2.3,3,역삼동 피씨앤쿡 PC방
역삼동,서울특별시 강남구 역삼로 149 녹동빌딩 지하1층 (역삼동),힘쎈수달PC방,37.4949035,127.0354794,0,0,0,역삼동 힘쎈수달PC방
대치동,서울특별시 강남구 역삼로 417 (대치동),로마루 PC방,37.5013599,127.0527126,0,1,7,대치동 로마루 PC방
대치동,서울특별시 강남구 역삼로 419 지하1층 (대치동),엔탑pc,37.5014206,127.0528844,0,4,3,대치동 엔탑pc
삼성동,서울특별시 강남구 영동대로112길 5 (삼성동),제노 삼성점,37.5151738,127.0606908,0,2.3,3,삼성동 제노 삼성점
일원동,서울특별시 강남구 일원로 53 소림빌딩 지하1층 (일원동),독스 PC방 일원점,37.4892734,127.0818266,0,1,1,일원동 독스 PC방 일원점
일원동,서울특별시 강남구 일원로9길 24 지하1층 (일원동),덤프PC방,37.4897818,127.0835528,0,0,0,일원동 덤프PC방
일원동,서울특별시 강남구 일원로9길 40 (일원동),덤프PC방,37.4901773,127.0848859,0,0,0,일원동 덤프PC방
일원동,서울특별시 강남구 일원로9길 52 지하1층 (일원동),덤프PC방,37.4904596,127.0858665,0,0,0,일원동 덤프PC방
일원동,서울특별시 강남구 일원로9길 58 지층 (일원동),PC베네일원점,37.4906257,127.0862134,0,1,1,일원동 PC베네일원점
자곡동,서울특별시 강남구 자곡로 114 B01호 (자곡동 서강플라자),갤럭시 PC,37.472057,127.0960241,0,5,1,자곡동 갤럭시 PC
역삼동,서울특별시 강남구 테헤란로 107 비전타워 지하1층 (역삼동),3 POP PC CAFE,37.498664,127.0287237,0,1.3,16,역삼동 3 POP PC CAFE
역삼동,서울특별시 강남구 테헤란로20길 20 지하2층 (역삼동),3POP PC CAFE,37.4983691,127.0345328,0,1.3,16,역삼동 3POP PC CAFE
역삼동,서울특별시 강남구 테헤란로43길 30 지하1층 (역삼동),704 애비뉴,37.5051579,127.0442636,0,0,0,역삼동 704 애비뉴
역삼동,서울특별시 강남구 테헤란로4길 29 정우씨티 지하2층 (역삼동),3POP PC방,37.4965676,127.0305552,0,1.5,2,역삼동 3POP PC방
청담동,서울특별시 강남구 학동로101길 19 지하1층 (청담동),필드PC zone,37.5216261,127.0572509,2,2.3,3,청담동 필드PC zone
논현동,서울특별시 강남구 학동로20길 13 논현2호주차장 지하1 층 (논현동),3POP PC cafe,37.5122093,127.0285705,0,1.6,5,논현동 3POP PC cafe
논현동,서울특별시 강남구 학동로20길 39 (논현동),친친 피씨,37.5107748,127.0278747,0,5,1,논현동 친친 피씨
고덕동,서울특별시 강동구 고덕로83길 12 (고덕동),오아시스 PC방,37.5575836,127.1689327,0,0,0,고덕동 오아시스 PC방
고덕동,서울특별시 강동구 고덕로83길 6 (고덕동),라네이즈 PC방,37.5574053,127.1689424,0,0,0,고덕동 라네이즈 PC방
천호동,서울특별시 강동구 구천면로 192 천호역 한강 푸르지오시티 102호 (천호동),여우PC,37.5403622,127.1258416,0,0,0,천호동 여우PC
천호동,서울특별시 강동구 구천면로 192 천호역 한강 푸르지오시티 204호 (천호동),PC카페,37.5403622,127.1258416,0,5,1,천호동 PC카페
천호동,서울특별시 강동구 구천면로 250 (천호동),아이클랜 PC방,37.5425218,127.1314715,0,0,0,천호동 아이클랜 PC방
천호동,서울특별시 강동구 구천면로 291 대황빌딩 101호 (천호동),라온PC,37.5459536,127.1335689,0,0,0,천호동 라온PC
암사동,서울특별시 강동구 구천면로 323 개나리프라자 2층 (암사동),피에스타PC방,37.5483487,127.1355066,0,0,0,암사동 피에스타PC방
상일동,서울특별시 강동구 구천면로 662 (상일동),PC겜방,37.550752,127.1714419,0,0,0,상일동 PC겜방
천호동,서울특별시 강동구 구천면로17길 32 1층 (천호동),스타PC방,37.5429967,127.1238671,0,2.3,3,천호동 스타PC방
천호동,서울특별시 강동구 구천면로34길 70 (천호동),팩토리 PC방,37.5426597,127.135149,0,0,0,천호동 팩토리 PC방
천호동,서울특별시 강동구 구천면로42길 97  (천호동지층),프로게이머 PC방,37.5433355,127.1375009,0,0,0,천호동 프로게이머 PC방
명일동,서울특별시 강동구 동남로71길 38 지층 101호 (명일동 동양타워),독스PC,37.5520312,127.1540865,0,2,4,명일동 독스PC
명일동,서울특별시 강동구 동남로75길 13-15 성은빌딩 3층 (명일동),스마트PC방,37.5536302,127.1555201,0,0,0,명일동 스마트PC방
고덕동,서울특별시 강동구 동남로85길 48 지하1층층 (고덕동),인터라이더,37.5608574,127.1543065,0,0,0,고덕동 인터라이더
길동,서울특별시 강동구 명일로 200-34 (길동 현대아파트 상가 지하1층),피시코모리,37.5369525,127.1476895,0,0,0,길동 피시코모리
상일동,서울특별시 강동구 상암로 423 (상일동),에코스 PC방,37.5457752,127.1697135,0,0,0,상일동 에코스 PC방
천호동,서울특별시 강동구 상암로 62 (천호동),여우 PC방,37.5489211,127.1299985,0,0,0,천호동 여우 PC방
암사동,서울특별시 강동구 상암로 93 동진빌딩 지하1층 (암사동),엔젤PC방,37.5477524,127.1334201,0,0,0,암사동 엔젤PC방
상일동,서울특별시 강동구 상일로 39 2층 (상일동),e-SPORTS PC,37.5505869,127.172641,0,0,0,상일동 e-SPORTS PC
성내동,서울특별시 강동구 성내로10길 12 (성내동),엔씨,37.5284445,127.1245557,0,0,0,성내동 엔씨
길동,서울특별시 강동구 성안로 172 지층 (길동 한빛아파트),쓰리팝 PC방,37.5385076,127.1363642,0,0,0,길동 쓰리팝 PC방
강일동,서울특별시 강동구 아리수로93길 33 베스트프라자 501호 (강일동),PC&,37.5659078,127.1735545,0,0,0,강일동 PC&
암사동,서울특별시 강동구 암사길 68 (암사동),아이라면 PC방,37.5519193,127.1370007,0,0,0,암사동 아이라면 PC방
성내동,서울특별시 강동구 양재대로 1303 평원빌딩 지층 (성내동),GEEK STAR PC CAFE,37.5227722,127.1339673,0,5,2,성내동 GEEK STAR PC CAFE
