소재지전체주소,도로명전체주소,사업장명,위도,경도,업태구분명,kakao_star,kakao_star_nums,kakao_blog_review
여의도동,"서울특별시 노원구 마들로 31, 주상가동 지하1층 104,5호 (월계동, 그랑빌아파트)",교촌치킨여의도점,37.6183634,127.0686647,치킨,1.9,42,12
독산동,"서울특별시 도봉구 도봉로110나길 37, 1층 (창동)",부어치킨,37.6477836,127.0351569,치킨,2.3,4,1
양천구,"서울특별시 금천구 독산로27길 47-23, 지상1층 (시흥동)",처갓집양념치킨 목동점,37.4572254,126.9036813,치킨,5,12,9
중곡동,"서울특별시 동대문구 망우로 83 (휘경동,(망우로 193))",빵구비어,37.5902909,127.0622289,치킨,0,0,1
여의도동,"서울특별시 노원구 한글비석로 456, 1층 107,108,109,110호 (상계동, 한신2차상가)",조니워커,37.6643699,127.067369,치킨,0,0,0
강북구,"서울특별시 도봉구 도봉로 585, 지상1층 (쌍문동)",온달야식,37.6572283,127.039407,치킨,3,2,0
구의동,"서울특별시 동대문구 장한로 115 (장안동,(장한로115))",남촌,37.5709433,127.0705533,치킨,4.7,3,4
마포구,서울특별시 동작구 신대방2길 3 (신대방동),후라이드참잘하는집서강대점,37.4879199,126.9126609,치킨,3.4,9,7
성북구,서울특별시 노원구 상계로27길 48 (상계동),우정,37.6603865,127.0692318,치킨,4.9,41,67
영등포구,"서울특별시 금천구 금하로 728, 지상1층 (시흥동)",짝태앤노가리,37.4504344,126.9106047,치킨,0,1,0
면목동,서울특별시 노원구 공릉로 99 (공릉동),치킨플러스면목2동점,37.6190886,127.078193,치킨,4,2,9
성동구,서울특별시 노원구 상계로23다길 12 (상계동),성수스타우트,37.6591483,127.069308,치킨,4.5,11,32
가락동,"서울특별시 노원구 노원로1길 67, 1층 115호 (공릉동, 대덕프라자)",호프 로데오,37.6208327,127.0836582,치킨,0,0,1
강동구,"서울특별시 동대문구 보문로 12, 지상1층 (신설동)",페리카나,37.5765694,127.0234307,치킨,5,1,2
강서구,"서울특별시 동대문구 왕산로 263, 1층 (청량리동)",교촌치킨,37.5844796,127.0502026,치킨,4.4,13,12
양천구,"서울특별시 금천구 독산로87길 4, 지상1층 (독산동)",60계치킨,37.4726328,126.9026058,치킨,4,9,12
송파구,"서울특별시 동작구 동작대로13길 21, 은창빌딩 2층 (사당동)",푸라닭 방이점,37.4817256,126.9792454,치킨,4,1,1
상도동,"서울특별시 동대문구 천호대로37길 11, 1층 101,102호 (용두동)",그릴맨바베큐,37.5737634,127.0415038,치킨,1,1,1
강서구,"서울특별시 동대문구 경희대로3길 28, 1층 (회기동)",타다이마,37.5930088,127.0510314,치킨,4,2,16
천호동,"서울특별시 동대문구 천호대로31길 23, 1층 (용두동)",돈쥬앙호프,37.5746824,127.0407365,치킨,0,0,0
신림동,"서울특별시 동대문구 홍릉로 55, 1층 (청량리동)",청춘싸롱,37.5852635,127.0433601,치킨,3.7,3,11
양천구,"서울특별시 금천구 은행나무로 39 (시흥동, 지상1층)",네네치킨,37.4509887,126.9068654,치킨,3.3,5,2
관악구,서울특별시 동대문구 회기로21길 38 (회기동),낙성대 하륜일만족발,37.5929843,127.0529417,치킨,4.6,7,22
마포구,"서울특별시 동작구 사당로 256, 1층 (사당동)",치킨명작,37.4832532,126.9761968,치킨,0,0,0
신림동,"서울특별시 동대문구 전농로 41, 1층 (답십리동)",작살치킨,37.5687023,127.0568562,치킨,4.2,5,1
도화동,서울특별시 동작구 만양로14가길 4 (노량진동),피,37.5117833,126.9453264,치킨,0,0,0
용산구,"서울특별시 금천구 시흥대로 97 (시흥동,시흥산업용재유통센타 지원상가 BB-50  (시흥대로 590))",노랑통닭,37.4438361,126.901495,치킨,2.4,9,3
