소재지전체주소,도로명전체주소,사업장명,위도,경도,업태구분명,kakao_star,kakao_star_nums,kakao_blog_review
성수동1가,서울특별시 강동구 성안로 188 (길동),포맨스,37.5397332,127.1366666,"인도,태국",2.5,14,142
봉천동,서울특별시 강동구 성내로 14 (성내동),안녕베트남,37.5300671,127.1221223,"인도,태국",3.4,90,425
망원동,"서울특별시 강동구 암사1가길 11, 1층 (암사동)",웨스트사이드,37.551941,127.1302967,"인도,태국",4.7,22,27
수유동,서울특별시 강동구 상일로5길 10 (상일동),봄타코,37.549112,127.1724409,"인도,태국",3.7,3,7
마곡동,"서울특별시 강동구 상일로 39-11, 1층 (상일동)",타이투고,37.5504833,127.17193,"인도,태국",4.7,21,42
서초동,"서울특별시 강동구 상암로47길 80-21 (명일동,지하1층)",바노이,37.5500828,127.1457359,"인도,태국",3.1,10,43
한강로2가,서울특별시 강동구 명일로16길 3 (길동),어멍해장국신용산점,37.5374844,127.1463568,"인도,태국",3,4,4
성북동,"서울특별시 강동구 상암로 28, 1층 1,2호 (암사동)",카레,37.5503358,127.1267518,"인도,태국",4.3,44,100
화양동,"서울특별시 강동구 성안로 194, 1층 (길동)",메호르,37.5401358,127.1368506,"인도,태국",4.3,7,102
청담동,서울특별시 강동구 명일로 221 (길동),시고로,37.5384928,127.1461813,"인도,태국",4.1,15,47
삼성동,"서울특별시 강동구 상일로 74 (상일동,리엔파크3단지 2상가 103호)",에머이 삼성점,37.5531625,127.1752949,"인도,태국",2.8,8,25
서교동,서울특별시 강동구 양재대로 1339 (성내동),아마,37.5259577,127.1350289,"인도,태국",4.9,11,86
망원동,"서울특별시 강동구 양재대로 1329, 서경빌딩 지1층 (성내동)",마이클식당,37.5252087,127.1348464,"인도,태국",4.2,36,81
양재동,서울특별시 강동구 동남로82길 91 (고덕동),미스사이공 포이사거리점,37.5606204,127.1621395,"인도,태국",4.2,5,4
성수동2가,서울특별시 강동구 상암로 88 (천호동),온키친,37.547895,127.1324729,"인도,태국",5,1,31
신사동,서울특별시 강동구 양재대로 1558 (길동),마이프렌드 쎄르지오 신사점,37.5445942,127.14285,"인도,태국",0,0,0
봉천동,"서울특별시 강동구 상일로7길 7, 1층 (상일동)",오늘그대와,37.5498917,127.172474,"인도,태국",2.5,19,163
서교동,서울특별시 강동구 성내로 8-14 (성내동),슬로우타코,37.5299014,127.1212856,"인도,태국",3.9,16,101
성수동1가,"서울특별시 강동구 양재대로 1473, 희헌타워 1층 103호 (길동)",타이로띠 성수,37.5375122,127.1395889,"인도,태국",4.1,8,0
진관동,"서울특별시 강동구 동남로73길 26 (명일동,고덕복합빌딩 1층 13호)",아그라 은평,37.5533037,127.1547967,"인도,태국",2.4,8,29
익선동,"서울특별시 강동구 성내로14길 18 (성내동,선광아파트 상가 6호)",저스트텐동 익선점,37.5271765,127.1266706,"인도,태국",3.8,32,206
삼성동,"서울특별시 강동구 상암로27길 11, 1층 101호 (천호동)",리틀사이공 파르나스몰점,37.5467608,127.1374487,"인도,태국",3.2,5,19
잠원동,서울특별시 강동구 동남로71길 20-9 (명일동),코리엔더,37.5523586,127.154816,"인도,태국",4.6,7,18
명륜4가,서울특별시 강동구 동남로75길 19 (명일동),블루룸,37.5541286,127.1551948,"인도,태국",4.2,40,101
이문동,"서울특별시 강동구 양재대로 1335 (성내동,(2층))",르안타이,37.5255838,127.1349179,"인도,태국",4.2,13,15
잠원동,"서울특별시 강동구 성안로 195, 지2층 B202-2호 (천호동, 다성이즈빌)",노작가의 아지트,37.5404269,127.1365106,"인도,태국",5,5,7
합정동,"서울특별시 강동구 양재대로 1365 (성내동, 107호)",미에우,37.528046,127.1358384,"인도,태국",4.3,33,218
대치동,"서울특별시 강동구 성안로 37, 1층 103호 (성내동)",베카 프리미엄 델리샵,37.5272471,127.1302618,"인도,태국",5,2,0
마곡동,서울특별시 강동구 상암로51길 33 (명일동),월남선생 마곡점,37.5481285,127.1461073,"인도,태국",4.1,11,19
원효로1가,서울특별시 강동구 동남로83길 51 (고덕동),동휴,37.5599948,127.1540095,"인도,태국",4.5,2,2
용산동2가,"서울특별시 강동구 성안로 181, 2층 (천호동)",소셜해이븐,37.5392936,127.1360791,"인도,태국",4.3,3,1
역삼동,"서울특별시 강동구 상암로11길 14, 1층 (암사동)",쿤쏨차이,37.5503005,127.1289431,"인도,태국",3.6,12,73
청진동,서울특별시 강동구 양재대로 1470 (길동),오한수 우육면가,37.5370179,127.1399369,"인도,태국",4,1,1
대치동,"서울특별시 강동구 성안로 18, 1층 101,102호 (성내동)",주박사쌀국수,37.525381,127.1297759,"인도,태국",3.5,6,0
성수동1가,서울특별시 강동구 성안로 10 (성내동),비스트리오,37.5247241,127.1294944,"인도,태국",4,1,5
영등포동6가,서울특별시 강동구 명일로10나길 28 (둔촌동),테이크포,37.5310478,127.1454101,"인도,태국",4.8,5,16
망원동,서울특별시 강동구 양재대로 1371 (성내동),스몰베트남,37.5287128,127.1360654,"인도,태국",1.7,20,10
가산동,서울특별시 강동구 양재대로 1396 (둔촌동),샤오당쟈,37.5306503,127.1378356,"인도,태국",1,1,8
서교동,서울특별시 강동구 암사길 61 (암사동),Hollo kitchen 홀로 키친,37.5520574,127.1362214,"인도,태국",4.6,14,27
정릉동,서울특별시 강동구 명일로 171 (둔촌동),THAI BANGKOK 타이방콕,37.5341131,127.1446234,"인도,태국",4.5,12,37
누하동,서울특별시 강동구 명일로 171 (둔촌동),고치비,37.5341131,127.1446234,"인도,태국",3.9,24,149
구로동,"서울특별시 강동구 상암로11길 11, 103호 (암사동, 라시온상가)",라크라센타 커피&컴퍼니,37.5501656,127.1285868,"인도,태국",4,1,5
공릉동,"서울특별시 강동구 성안로 109 (성내동,104호)",차차,37.5332128,127.13305,"인도,태국",4.8,5,10
화양동,서울특별시 강동구 아리수로64길 39 (고덕동),고피자건대점,37.5605319,127.1540784,"인도,태국",0,0,3
구로동,"서울특별시 강동구 양재대로 1448, 2층 (길동)",포이스트,37.5350777,127.1393389,"인도,태국",4.3,3,15
염리동,"서울특별시 강동구 양재대로 1303, 2층 (성내동)",포로이마포점,37.5227722,127.1339673,"인도,태국",4,3,14
신도림동,서울특별시 강동구 성내로5길 11 (성내동),온더보더 현대디큐브시티점,37.5304654,127.1232819,"인도,태국",4.5,4,52
신월동,"서울특별시 강동구 동남로75길 13-10 (명일동, 2층)",니들누들,37.5539195,127.1550552,"인도,태국",4.3,3,4
청진동,서울특별시 강동구 상암로 175 (천호동),팻보이 샌드위치,37.5462953,127.1418986,"인도,태국",0,0,0
여의도동,"서울특별시 강동구 명일로 110 (둔촌동, 암펠로스타워 지101(일부))",아그라,37.5288078,127.143166,"인도,태국",2.5,4,53
상암동,"서울특별시 강동구 양재대로 1371, 1층 14호 (성내동)",왼손과젓가락,37.5287128,127.1360654,"인도,태국",5,1,0
명동1가,"서울특별시 강동구 명일로 239, 1층 (길동)",타이가든 명동성당점,37.5400674,127.1466577,"인도,태국",4.7,3,32
여의도동,"서울특별시 강동구 명일로13길 20, 1층 101호 (둔촌동)",모닝,37.5338687,127.1436109,"인도,태국",2,3,3
흑석동,서울특별시 강동구 양재대로 1444 (길동),흑석호치민,37.534716,127.1392499,"인도,태국",4.2,5,30
봉천동,서울특별시 강동구 상암로4길 10 (암사동),주식회사 러쉬딜리버리,37.5500737,127.1263084,"인도,태국",0,0,0
역삼동,"서울특별시 강동구 양재대로 1512, 1층 102,103호 (길동)",요띠드,37.540503,127.1413691,"인도,태국",0,0,10
창천동,"서울특별시 강동구 상암로 28, 2층 1호 (암사동)",머노까머나,37.5503358,127.1267518,"인도,태국",3.9,35,132
서초동,서울특별시 강동구 상암로 27 (암사동),소브레메사,37.5506364,127.1267932,"인도,태국",3.7,13,48
이촌동,"서울특별시 강동구 양재대로 1500, 1층 109호 (길동)",제나나,37.5394712,127.1410053,"인도,태국",3,11,3
서초동,서울특별시 강동구 명일로 198 (길동),인더비엣 신논현역점,37.5364217,127.145902,"인도,태국",3.5,14,81
대현동,"서울특별시 강동구 명일로 102 (둔촌동, 지하)",소이54,37.5278063,127.1428107,"인도,태국",4.5,14,6
흑석동,"서울특별시 강동구 상암로12길 32 (천호동,보람아파트상가 101호)",태국식당,37.5482898,127.1278166,"인도,태국",4,1,1
마곡동,서울특별시 강동구 상암로51길 7 (명일동),에머이 마곡나루점,37.54699,127.1459386,"인도,태국",3.1,14,91
성수동2가,서울특별시 강동구 상암로 85 (암사동),에머이 성수점,37.5481408,127.1324849,"인도,태국",2.8,15,35
용산동2가,서울특별시 강동구 성안로 167 (천호동),오보이피자,37.5381355,127.1355272,"인도,태국",4.8,17,13
삼성동,"서울특별시 강동구 아리수로 340, 지1층 102호 (고덕동)",도미노피자 삼성점,37.562342,127.1661464,"인도,태국",2.8,6,3
신도림동,서울특별시 강동구 아리수로74길 35-33 (고덕동),이스트바이게이트 신도림점,37.5608559,127.1627247,"인도,태국",2.4,17,77
서교동,"서울특별시 강동구 아리수로93길 27, 113~114호 (강일동, 강일타워)",뱅사오,37.5656316,127.1738307,"인도,태국",3.5,10,8
성수동2가,"서울특별시 강동구 성내로3길 16, 은성빌딩 1층 (성내동)",쿠나,37.530715,127.1227481,"인도,태국",3.6,23,10
권농동,서울특별시 강동구 상암로 183 (천호동),그랑비노,37.5464477,127.1426681,"인도,태국",5,3,2
하왕십리동,"서울특별시 강동구 상암로11길 11, 강동리시온 102호 (암사동)",리틀방콕 왕십리뉴타운점,37.5501656,127.1285868,"인도,태국",3.4,5,36
길동,서울특별시 강동구 동남로 585 (둔촌동),한주,37.526894,127.1474711,"인도,태국",5,3,30
목동,"서울특별시 강동구 상일로5길 10-9, 1층 102호 (상일동, 제이아트빌)",타이반쩜,37.5494003,127.1721193,"인도,태국",0,0,1
한남동,"서울특별시 강동구 성안로 167 (천호동,(2층))",비,37.5381355,127.1355272,"인도,태국",1.8,21,38
신당동,서울특별시 강동구 성안로3길 112-8 (성내동),피클피클 장충,37.5282821,127.1241939,"인도,태국",5,3,8
서초동,"서울특별시 강동구 동남로81길 26 (고덕동, 101호)",에머이 서초,37.5604013,127.1552977,"인도,태국",3,23,76
서초동,서울특별시 강동구 구천면로42길 14 (천호동),주박사 쌀국수,37.5462534,127.1349428,"인도,태국",3.9,28,47
이태원동,서울특별시 강동구 동남로82길 9 (고덕동),이태원키친,37.560667,127.1575002,"인도,태국",1.5,2,1
성내동,"서울특별시 강동구 명일로 159, 1층 (둔촌동)",cincin,37.5331362,127.1442638,"인도,태국",0,0,0
대치동,"서울특별시 강동구 동남로67길 22, 1층 (명일동)",천하무쌍,37.548865,127.154687,"인도,태국",0,0,1
한강로3가,"서울특별시 강동구 명일로 259, 1층 (길동)",콘타이,37.5417698,127.1471762,"인도,태국",3.3,3,18
능동,"서울특별시 강동구 양재대로 1465, 마루홈타운 1층 102호 (길동)",몽골라운지,37.5368624,127.1393063,"인도,태국",0,0,1
청담동,"서울특별시 강동구 상일로 39-6, 1층 (상일동)",베네베네,37.5507208,127.1724319,"인도,태국",4.5,8,7
한남동,"서울특별시 강동구 성안로3길 27 (성내동,1,2층)",바우슈텔러,37.5259628,127.1281402,"인도,태국",3,3,7
화양동,서울특별시 강동구 상일로5길 9 (상일동),맘맘테이블,37.5489096,127.1725577,"인도,태국",3,2,2
신내동,"서울특별시 강동구 상암로 68, 1층 (천호동)",등촌샤브칼국수 신내점,37.5486962,127.1305488,"인도,태국",4.6,5,7
신사동,서울특별시 강동구 양재대로 1496 (길동),포 25 압구정점,37.5391433,127.1408812,"인도,태국",0,0,8
천호동,"서울특별시 강동구 성내로 38, 서울성내1동우체국 1층 1호 (성내동)",강동호치민,37.5289308,127.1243788,"인도,태국",3.4,33,74
대현동,서울특별시 강동구 동남로 638 (둔촌동),리또리또,37.5312027,127.1497662,"인도,태국",4.5,12,4
