소재지전체주소,도로명전체주소,사업장명,위도,경도,업태구분명,kakao_star,kakao_star_nums,kakao_blog_review
응암동,"서울특별시 강남구 남부순환로359길 20, 지상1층 (도곡동)",마포곱창,37.4861725,127.0364975,분식,5,1,56
수유동,서울특별시 강남구 역삼로63길 5 (대치동),소문난오리,37.5015153,127.0522791,분식,0,0,0
신길동,"서울특별시 강남구 삼성로64길 5 (대치동,지하1층 104, 105호)",미미식당,37.5008929,127.0610401,분식,0,0,0
서교동,서울특별시 강동구 구천면로 300 (천호동),끄트머리,37.546395,127.134267,분식,0,0,0
봉천동,"서울특별시 강남구 테헤란로 152 (역삼동,강남파이넨스센터지상39층)",김밥분식,37.5000263,127.0365456,분식,0,0,0
목동,"서울특별시 강남구 삼성로147길 34 (청담동,1층)",종합맛집,37.5208213,127.0465792,분식,1,18,0
논현동,"서울특별시 강남구 선릉로158길 13-7, 지상1층,지하1층 (청담동)",본스치킨,37.5260438,127.0412382,분식,1,1,1
가산동,"서울특별시 강남구 영동대로 417, 지하1층 6호 (대치동, 오토웨이타워)",홍게우동 가산직영점,37.5062938,127.0637081,분식,0,0,0
남영동,"서울특별시 강남구 논현로124길 5, 지상2층 9호 (논현동)",치킨플러스,37.5124005,127.0320934,분식,1,2,2
충정로2가,"서울특별시 강남구 논현로 403 (역삼동,지상1층)",우리하우스,37.4960874,127.0388466,분식,2.6,14,32
명동2가,"서울특별시 강남구 도산대로56길 8, 지상1,2층 (청담동)",이베떡달라붙는떡볶이,37.5226026,127.0401073,분식,3,8,4
청담동,"서울특별시 강남구 언주로 620 (논현동,지하1층3호)",청담,37.5116195,127.0363347,분식,3.2,50,378
상계동,서울특별시 강남구 봉은사로 150 (역삼동),파스타가든,37.5058728,127.0310562,분식,5,5,6
미아동,"서울특별시 강남구 언주로 615, 논현 아이파크 103동 지하1층 110호 (논현동)",소풍,37.510437,127.0360974,분식,3,5,2
주교동,서울특별시 강남구 논현로 333 (역삼동),이모네,37.4949048,127.0394265,분식,4,3,4
충무로2가,"서울특별시 강남구 삼성로96길 11, 지상2층 (삼성동)",원더브레드,37.5089594,127.0568255,분식,4.1,13,15
송파동,"서울특별시 강남구 언주로174길 29, 지상1층 (신사동, 테맨빌딩)",쌀어묵공방,37.5281233,127.0364849,분식,3.5,2,0
논현동,"서울특별시 강남구 역삼로3길 22, 지하1층 (역삼동)",엄마손한식뷔페,37.4950089,127.0312405,분식,1,1,4
